Loan_ID,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term
LP001825,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,-1.2173034444852118,0.19440356207582374,-0.47516216705554615,0.27207315048860586
LP001608,1.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,-1.0580187117869426,0.10265756305684466,-0.10203714556619407,0.27207315048860586
LP001993,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.10084521212376987,0.1199750809439612,1.0512583754008942,0.27207315048860586
LP002836,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.18870203502689736,-0.49387565948021217,-1.1535712970361862,0.27207315048860586
LP001343,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-1.2510502098873875,0.8108335072916952,0.9155765494047662,0.27207315048860586
LP002318,1.0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0.1717134194683388,-0.49387565948021217,-1.4249349490284424,0.27207315048860586
LP001691,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0.20546018487051446,-0.49387565948021217,0.6781333539115421,0.27207315048860586
LP002689,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,-0.9588032215045461,0.147977875825256,-2.0015827095119865,0.27207315048860586
LP001974,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.9364151234816394,-0.49387565948021217,0.9494970059037982,0.27207315048860586
LP002337,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.4168301691456049,-0.49387565948021217,-1.4927758620265064,0.27207315048860586
LP001385,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1.1496946808233897,-0.49387565948021217,1.0851788318999263,0.27207315048860586
LP002068,0.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.8803954929140277,-0.49387565948021217,0.8816560929057341,0.27207315048860586
LP001606,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.07801264450776116,0.22977551350482772,0.406769701919286,0.27207315048860586
LP002035,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.07047312326181178,-0.49387565948021217,0.5424515279154141,0.27207315048860586
LP002368,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1.5674796365023245,-0.49387565948021217,0.9834174624028301,0.27207315048860586
LP001744,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.43302861653864916,0.5344901367526017,1.3565424838921822,0.27207315048860586
LP002619,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0.13594184814203258,0.05254729853242234,0.6781333539115421,-0.6706028357113527
LP001003,1.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0.6549671000274944,0.0617587442170588,0.8138151799076702,0.27207315048860586
LP002367,1.0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0.6704906121124952,-0.49387565948021217,-0.7804462755468342,0.27207315048860586
LP001345,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0.4558611841546579,0.708402231278538,0.9834174624028301,-2.5559548081112697
LP001241,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0.46396040785118003,-0.49387565948021217,1.0851788318999263,0.27207315048860586
LP002716,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,2.1398247777232235,-0.49387565948021217,0.8816560929057341,0.27207315048860586
LP001722,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-2.3370211205294003,0.1693484298136126,1.0512583754008942,0.27207315048860586
LP001940,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,-0.31019039047472974,0.08091855124110263,1.017337918901862,0.27207315048860586
LP002366,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.6388838854919208,1.090492998277258,0.576371984414446,0.27207315048860586
LP001222,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0.37351907657334926,-0.49387565948021217,0.406769701919286,0.27207315048860586
LP001616,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0.09274598842724771,-0.49387565948021217,0.406769701919286,0.27207315048860586
LP001322,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0.35124621140791334,-0.49387565948021217,0.6102924409134781,0.27207315048860586
LP001872,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1.0484543846168626,-0.49387565948021217,0.8138151799076702,0.27207315048860586
LP001750,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1.780084258536031,-0.49387565948021217,0.8138151799076702,0.27207315048860586
LP001024,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,-0.2784684309966846,-0.23595518031039142,-1.1535712970361862,0.27207315048860586
LP001131,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.22165863226355878,0.3668418252922182,1.017337918901862,0.27207315048860586
LP001814,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4.110635877210283,-0.49387565948021217,0.27108787592315803,0.27207315048860586
LP001726,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.07722247634224691,0.16013698412897615,0.9155765494047662,0.27207315048860586
LP001904,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,-0.34393715587690543,-0.014880483879116505,-0.8143667320458662,0.27207315048860586
LP002587,1.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,-0.6834296158227926,0.13250264707506676,0.10148559342799797,0.27207315048860586
LP001603,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0.49365756140509465,-0.22269069852451492,-0.5769235365526422,0.27207315048860586
LP001978,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.26147981543812604,0.42726890898343334,1.2208606578960541,0.27207315048860586
LP001871,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,2.421272801177369,-0.49387565948021217,0.5424515279154141,0.27207315048860586
LP002837,0.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,-0.14348136938798195,0.42726890898343334,0.6442128974125101,0.27207315048860586
LP002519,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0.7278601132961938,-0.49387565948021217,-0.13595760206522609,0.27207315048860586
LP001112,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0.036726357859636106,0.043704310675171346,1.3565424838921822,0.27207315048860586
LP002332,1.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,-0.9176321677138918,0.2551991035944243,0.203246962925094,0.27207315048860586
LP001836,1.0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,-0.12525811607080709,-0.49387565948021217,1.1530197448979902,0.27207315048860586
LP001030,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,-1.5615204515874035,-0.09373045893960456,-2.9513554914848825,-3.4986307943112283
LP001038,1.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0.8601474336727224,-0.49387565948021217,0.9834174624028301,0.27207315048860586
